Plot Rep Block Genotype Lat Loc Year Environment EV_V4 EV_V6 PH_V4 PH_V6 PH_final LO TILL FF MF
6179 2 618 DH_PE0015 31 ROG 2017 2017.ROG 5 5 26 73 112 1 3 74 NA
6180 2 618 DH_PE0095 31 ROG 2017 2017.ROG 5 5 25.66666667 62 100.6666667 1 6 72 NA
6181 2 619 DH_KE0095 31 ROG 2017 2017.ROG 5 5 19.66666667 60.33333333 95.33333333 1 7 64 NA
6182 2 619 DH_KE0445 31 ROG 2017 2017.ROG 4 4 20.66666667 39.33333333 118.3333333 1 3 74 NA
6183 2 619 DH_PE0450 31 ROG 2017 2017.ROG 5 6 26 52.33333333 123 1 3 68 NA
6184 2 619 DH_KE0435 31 ROG 2017 2017.ROG 6 7 34.33333333 76.33333333 130.6666667 4 2 66 NA
6185 2 619 CH10 31 ROG 2017 2017.ROG 8 8 42 78.66666667 128.6666667 2 4 68 NA
6186 2 619 DH_KE0005 31 ROG 2017 2017.ROG 7 8 27 71.33333333 139.6666667 2 2 64 NA
6187 2 619 DH_KE0061 31 ROG 2017 2017.ROG 4 4 18 37.33333333 108 1 1 72 NA
6188 2 619 DH_PE0355 31 ROG 2017 2017.ROG 5 5 26 50.66666667 135 1 1 70 NA
6190 2 619 DH_KE0102 31 ROG 2017 2017.ROG 6 6 23.33333333 59.33333333 123.3333333 1 3 64 NA
6191 2 620 DH_PE0614 31 ROG 2017 2017.ROG 5 5 24.33333333 70 112 1 3 78 NA
6192 2 620 DH_KE0635 31 ROG 2017 2017.ROG 5 5 29.33333333 59.33333333 118.6666667 1 3 72 NA
6193 2 620 DH_PE0075 31 ROG 2017 2017.ROG 6 5 24 63 114.6666667 1 6 70 NA
6194 2 620 DH_PE0045 31 ROG 2017 2017.ROG 6 6 29 69.66666667 109 1 5 68 NA
6195 2 620 DH_KE0494 31 ROG 2017 2017.ROG 6 6 27.66666667 63.66666667 116.6666667 1 2 78 NA
